# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00235023	0.82
WBGene00235026	2.00
WBGene00235027	5.76
WBGene00235029	0.81
WBGene00235030	2.08
WBGene00235032	4.69
WBGene00235033	1.13
WBGene00235036	1.13
WBGene00235038	4.09
WBGene00235040	4.63
WBGene00235043	-6.14
WBGene00235046	-3.62
WBGene00235047	2.59
WBGene00235049	-0.95
WBGene00235051	-1.65
WBGene00235053	-4.31
WBGene00235054	-2.82
WBGene00235056	1.91
WBGene00235057	2.26
WBGene00235060	-8.24
WBGene00235061	-2.35
WBGene00235062	4.73
WBGene00235063	-10.17
WBGene00235064	-7.55
WBGene00235068	-8.51
WBGene00235071	3.94
WBGene00235074	-5.63
WBGene00235075	-1.26
WBGene00235077	-0.95
WBGene00235079	-0.93
WBGene00235103	0.89
WBGene00235125	-5.57
WBGene00235127	-2.06
WBGene00235131	1.01
WBGene00235136	-0.99
WBGene00235360	1.91
WBGene00235399	-2.33
WBGene00235406	-1.91
WBGene00235407	-2.25
WBGene00235412	-4.29
WBGene00235417	-4.11
WBGene00235420	-3.42
WBGene00235421	-7.59
WBGene00235470	2.09
WBGene00235502	2.50
WBGene00235523	-1.95
WBGene00235532	-3.45
WBGene00235663	-5.43
WBGene00236098	-1.40
WBGene00236790	-3.05
WBGene00236803	1.45
WBGene00249811	1.49
WBGene00249818	-2.20
WBGene00249822	-4.95
WBGene00255377	-6.70
WBGene00255380	-4.40
WBGene00255388	-3.76
WBGene00255389	-4.07
WBGene00255411	-1.47
WBGene00255483	1.46
WBGene00255484	-2.45
WBGene00255501	0.30
WBGene00255511	1.14
WBGene00255513	-2.64
WBGene00255526	1.99
WBGene00255533	-0.86
WBGene00255534	-5.69
WBGene00255536	2.38
WBGene00255552	-8.41
WBGene00255557	-4.17
WBGene00255558	-1.51
WBGene00255559	-0.74
WBGene00255585	2.96
WBGene00255589	0.59
WBGene00255590	0.55
WBGene00255591	-1.80
WBGene00255592	-2.29
WBGene00255593	-1.94
WBGene00255601	1.98
WBGene00255602	1.15
WBGene00255604	-8.38
WBGene00255608	-1.96
WBGene00255610	-10.20
WBGene00255629	7.06
WBGene00255645	4.58
WBGene00255648	4.04
WBGene00255657	2.30
WBGene00255705	-13.26
WBGene00255710	-5.00
WBGene00255727	-5.48
WBGene00268187	5.06
WBGene00268218	-5.31
WBGene00268222	-2.73
WBGene00268224	0.53
WBGene00268231	-3.64
WBGene00268238	-1.26
WBGene00268240	-5.23
WBGene00268251	-3.10
WBGene00268267	-9.50
WBGene00268276	-8.32
WBGene00268282	1.31
WBGene00268292	3.13
WBGene00268296	-4.11
WBGene00268299	-2.93
WBGene00268335	-2.95
WBGene00268347	3.63
WBGene00268358	-4.43
WBGene00268364	-9.10
WBGene00268365	-9.12
WBGene00268367	-4.15
WBGene00268373	-10.24
WBGene00268375	-4.34
WBGene00268376	-6.74
WBGene00268381	1.61
WBGene00268385	0.99
WBGene00268386	-2.87
WBGene00268391	-3.07
WBGene00268394	2.87
WBGene00268395	3.84
WBGene00268397	-4.78
WBGene00268398	1.06
WBGene00268415	2.23
WBGene00268417	1.82
WBGene00268422	5.70
WBGene00268425	6.67
WBGene00268434	3.46
WBGene00268438	5.51
WBGene00268441	6.61
WBGene00268442	5.55
WBGene00268452	-3.70
WBGene00268454	3.83
WBGene00268456	-9.16
WBGene00268461	-1.97
WBGene00268465	-8.04
WBGene00268466	-4.78
WBGene00268473	7.31
WBGene00268474	-5.11
WBGene00268476	-3.47
WBGene00268479	-6.59
WBGene00268480	1.47
WBGene00268486	1.52
WBGene00268493	2.42
WBGene00268499	-5.04
WBGene00268500	3.60
WBGene00268506	-3.22
WBGene00268507	-1.65
WBGene00268515	-6.37
WBGene00268521	-1.57
WBGene00268523	7.60
WBGene00268524	-0.79
WBGene00268527	-0.89
WBGene00268529	-4.57
WBGene00268532	-2.82
WBGene00268535	-2.68
WBGene00268536	1.70
WBGene00268537	-1.84
WBGene00268538	1.38
WBGene00268539	-9.65
WBGene00268542	0.39
WBGene00268543	7.16
WBGene00268546	1.44
WBGene00268548	2.57
WBGene00268549	2.64
WBGene00268550	-1.91
WBGene00268551	1.80
WBGene00268553	-1.17
WBGene00268556	5.82
WBGene00268558	-3.27
WBGene00268561	-4.56
WBGene00268564	-3.15
WBGene00268570	2.10
WBGene00268573	-3.97
WBGene00268574	-10.06
WBGene00268575	-2.04
WBGene00268576	-5.46
WBGene00268577	-0.93
WBGene00268578	-7.48
WBGene00268585	-1.20
WBGene00268588	2.24
WBGene00268590	-2.65
WBGene00268591	-4.59
WBGene00268600	1.84
WBGene00268616	-2.28
WBGene00268617	-6.11
WBGene00268619	-3.62
WBGene00268620	-0.83
WBGene00268621	-7.83
WBGene00268623	-3.78
WBGene00268624	4.49
WBGene00268627	-6.48
WBGene00268634	-4.44
WBGene00268635	-5.33
WBGene00268636	-7.37
WBGene00268637	-5.52
WBGene00268640	2.91
WBGene00268643	3.65
WBGene00268644	-4.41
WBGene00268646	-3.01
WBGene00268648	-4.34
WBGene00268659	-5.95
WBGene00268671	-8.62
WBGene00268675	1.15
WBGene00268683	2.08
WBGene00268684	-2.57
WBGene00268689	-3.33
WBGene00268691	-6.24
WBGene00268693	-1.22
WBGene00268697	-10.11
WBGene00268698	-3.04
WBGene00268701	-2.93
WBGene00268702	-3.27
WBGene00268703	-7.22
WBGene00268704	-4.88
WBGene00268706	-0.91
WBGene00268707	-5.11
WBGene00268708	-8.91
WBGene00268712	-3.22
WBGene00268713	-6.37
WBGene00268716	-5.43
WBGene00268719	-4.72
WBGene00268721	-5.37
WBGene00268729	-2.20
WBGene00268730	-5.02
WBGene00268734	4.31
WBGene00268735	6.13
WBGene00268742	-4.69
WBGene00268747	-4.02
WBGene00268748	5.73
WBGene00268754	4.57
WBGene00268758	4.57
WBGene00268764	-2.56
WBGene00268765	-1.51
WBGene00268767	8.62
WBGene00268772	4.80
WBGene00268778	-4.95
WBGene00268779	0.53
WBGene00268793	0.91
WBGene00268794	-0.91
WBGene00268803	2.95
WBGene00268804	3.01
WBGene00268805	-2.81
WBGene00268809	-4.11
WBGene00268812	4.82
WBGene00268813	-4.61
WBGene00268815	5.30
WBGene00268823	-3.54
WBGene00268826	-6.08
WBGene00268828	-5.78
WBGene00268829	-5.61
WBGene00268834	3.65
WBGene00268837	-0.98
WBGene00268840	4.62
WBGene00268841	-2.40
WBGene00268846	2.16
WBGene00268848	1.95
WBGene00268849	2.03
WBGene00268854	-8.14
WBGene00268855	2.22
WBGene00268857	-7.57
WBGene00268858	1.05
WBGene00268860	5.13
WBGene00268861	1.38
WBGene00268865	4.44
WBGene00268866	-5.26
WBGene00268868	3.04
WBGene00268869	5.75
WBGene00268870	6.49
WBGene00268871	4.66
WBGene00268872	7.93
WBGene00268875	2.36
WBGene00268878	-6.21
WBGene00268880	-5.00
WBGene00268881	-3.07
WBGene00268882	-2.36
WBGene00268883	-8.66
WBGene00268885	-8.11
WBGene00268889	-8.60
WBGene00268891	4.35
WBGene00268897	-4.01
WBGene00268898	-8.59
WBGene00268900	1.52
WBGene00268901	1.89
WBGene00268902	2.70
WBGene00268907	-6.11
WBGene00268908	1.00
WBGene00268910	-0.55
WBGene00268912	-1.52
WBGene00268913	-11.28
WBGene00268914	-2.59
WBGene00268916	-2.55
WBGene00268917	1.26
WBGene00268921	3.84
WBGene00268924	-9.89
WBGene00268927	-2.93
WBGene00268931	-7.04
WBGene00268933	3.15
WBGene00268935	-1.94
WBGene00268936	-5.53
WBGene00268938	-1.77
WBGene00268940	-4.44
WBGene00268942	-5.48
WBGene00268948	3.17
WBGene00268960	-3.38
WBGene00268972	-3.66
WBGene00268974	-4.09
WBGene00268975	-5.39
WBGene00268976	6.30
WBGene00268983	-6.37
WBGene00268985	-7.67
WBGene00268986	-0.90
WBGene00268987	-3.00
WBGene00268990	-3.91
WBGene00268992	-1.44
WBGene00268997	-6.85
WBGene00268998	-3.07
WBGene00269013	-4.90
WBGene00269014	-2.62
WBGene00269015	6.23
WBGene00269016	2.08
WBGene00269017	1.06
WBGene00269019	-4.09
WBGene00269021	-9.36
WBGene00269026	-7.18
WBGene00269030	-7.99
WBGene00269031	-2.68
WBGene00269032	-1.66
WBGene00269035	1.68
WBGene00269038	1.01
WBGene00269039	6.74
WBGene00269043	-5.84
WBGene00269044	1.92
WBGene00269045	-6.74
WBGene00269046	-1.63
WBGene00269053	3.92
WBGene00269057	2.67
WBGene00269079	-6.03
WBGene00269082	-4.57
WBGene00269084	3.60
WBGene00269088	-2.09
WBGene00269100	4.05
WBGene00269103	1.29
WBGene00269106	-6.41
WBGene00269107	-4.86
WBGene00269110	1.58
WBGene00269116	-4.15
WBGene00269117	-4.73
WBGene00269121	2.35
WBGene00269124	3.63
WBGene00269129	-6.45
WBGene00269132	-2.61
WBGene00269133	-1.56
WBGene00269135	-0.61
WBGene00269136	4.07
WBGene00269137	-5.41
WBGene00269138	-7.00
WBGene00269140	-2.67
WBGene00269141	-0.90
WBGene00269142	2.58
WBGene00269144	-8.11
WBGene00269145	1.85
WBGene00269147	-7.40
WBGene00269149	-7.93
WBGene00269152	-4.86
WBGene00269153	-3.82
WBGene00269161	5.34
WBGene00269162	1.70
WBGene00269164	2.01
WBGene00269166	1.09
WBGene00269170	5.20
WBGene00269175	1.41
WBGene00269176	-0.88
WBGene00269178	-1.27
WBGene00269189	-6.80
WBGene00269194	7.14
WBGene00269200	-6.83
WBGene00269201	-7.72
WBGene00269203	-10.59
WBGene00269204	-2.45
WBGene00269211	-4.11
WBGene00269212	-2.19
WBGene00269214	3.03
WBGene00269215	-9.44
WBGene00269221	-7.62
WBGene00269222	-8.01
WBGene00269223	-7.80
WBGene00269224	-7.07
WBGene00269226	-3.52
WBGene00269230	3.17
WBGene00269231	-7.43
WBGene00269235	-3.51
WBGene00269236	-1.55
WBGene00269242	-9.32
WBGene00269243	-3.24
WBGene00269244	1.42
WBGene00269245	3.84
WBGene00269250	-1.45
WBGene00269251	-1.31
WBGene00269252	-7.92
WBGene00269256	4.27
WBGene00269258	-0.91
WBGene00269262	-7.17
WBGene00269263	-6.97
WBGene00269264	-6.47
WBGene00269265	1.27
WBGene00269267	-1.47
WBGene00269268	3.25
WBGene00269269	-7.96
WBGene00269270	5.08
WBGene00269271	-8.24
WBGene00269272	-0.75
WBGene00269273	-0.89
WBGene00269274	1.46
WBGene00269277	1.18
WBGene00269279	2.97
WBGene00269280	0.60
WBGene00269281	5.77
WBGene00269285	-5.64
WBGene00269286	-2.19
WBGene00269288	-5.24
WBGene00269296	-2.12
WBGene00269298	-3.23
WBGene00269301	3.53
WBGene00269302	-1.79
WBGene00269304	-3.94
WBGene00269305	3.14
WBGene00269306	-3.73
WBGene00269309	2.59
WBGene00269310	1.24
WBGene00269313	-2.58
WBGene00269319	-5.45
WBGene00269320	-1.18
WBGene00269321	-2.80
WBGene00269325	2.01
WBGene00269327	-7.12
WBGene00269328	-2.63
WBGene00269329	-1.49
WBGene00269330	-1.90
WBGene00269335	1.03
WBGene00269339	1.72
WBGene00269340	0.54
WBGene00269341	-1.77
WBGene00269343	5.80
WBGene00269345	2.15
WBGene00269348	0.52
WBGene00269349	0.68
WBGene00269350	-4.88
WBGene00269351	-0.95
WBGene00269353	-7.62
WBGene00269354	-3.41
WBGene00269356	-1.04
WBGene00269358	1.60
WBGene00269359	-6.87
WBGene00269360	1.26
WBGene00269362	-3.23
WBGene00269363	-1.55
WBGene00269364	1.54
WBGene00269366	1.45
WBGene00269367	-1.59
WBGene00269368	-1.22
WBGene00269369	-1.96
WBGene00269527	3.00
WBGene00269638	2.64
WBGene00269734	4.66
WBGene00269751	-4.26
